,,,,,,,,,,
Countries(Top 40),HDI,GII,Gini Coefficient,Freedom Scores,GPI,,GII(Correls),Gini Coefficient(Correls),Freedom Scores(Correls),GPI(Correls)
Benin,0.525,0.612,37.8,59,2.13,,,,,
Uganda,0.525,0.535,42.7,34,2.31,,,,,
Lesotho,0.514,0.553,44.9,63,2.09,,,,,
Malawi,0.512,0.565,38.5,66,1.9,,,,,
Senegal,0.511,0.533,38.1,68,1.92,,,Slope,Intercept,
Djibouti,0.509,0.634,41.6,24,2.21,,Coefficient ,151.9550029,-38.19392621,
Sudan,0.508,0.545,44.1,10,3.007,,Standard error ,58.19820469,29.22388528,
Madagascar,0.501,0.534,42.6,61,2,,"Coeff. determination, Standard error Co.",0.1521126672,19.12020509,
Gambia,0.5,0.612,35.9,47,1.79,,F stat w/ degrees of freedom,6.817275281,38,
Ethiopia,0.498,0.517,35,23,2.81,,"Regression SS, Residual SS",2492.274785,13892.12522,
Eritrea,0.492,0.65,37.63,3,2.494,,,,,
Guinea-Bissau,0.483,0.583,34.8,43,2.16,,,,,
Liberia,0.481,0.65,35.8,60,1.97,,,,,
Dem. Rep. of Congo,0.479,0.617,42.1,19,3.17,,,,,
Afghanistan,0.478,0.655,27.8,10,3.554,,,,,
Sierra Leone,0.477,0.644,35.7,65,1.8,,,Slope,Intercept,
Guinea,0.465,0.725,29.6,34,2.332,,Coefficient ,-3.369877291,4.690010698,
Yemen,0.455,0.747,36.7,9,3.94,,Standard error ,1.739684646,1.596487875,
Burkina Faso,0.449,0.594,47.3,53,2.786,,"Coeff. determination, Standard error Co.",0.08986853181,0.3207299854,
Mozambique,0.446,0.523,54,43,2.32,,F stat w/ degrees of freedom,3.752209794,38,
Mali,0.428,0.671,36.1,32,2.911,,"Regression SS, Residual SS",0.3859812798,3.908973495,
Burundi,0.426,0.504,38.6,14,2.47,,,,,
Central African Republic,0.404,0.68,56.2,7,3.021,,,,,
Niger,0.4,0.642,37.3,51,2.655,,,,,
Chad,0.394,0.71,37.5,15,2.591,,,,,
South Sudan,0.385,0.74,44.1,1,3.184,,,,,
,,,,,,,,Slope ,Intercept,
,,,,,,,Coefficient ,-4.736980467,4.776509894,
,,,,,,,Standard error ,1.325804676,0.6657449997,
,,,,,,,"Coeff. determination, Standard error Co.",0.2514628605,0.4355745585,
,,,,,,,F stat w/ degrees of freedom,12.76568415,38,
,,,,,,,"Regression SS, Residual SS",2.421971927,7.209557448,
